TestName,StartTime,TimeStamp,ActionDesc,ActionDuration,
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:36,006 Set field 'Target Unit' to value 'Meter',7422,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:36,007 Set field 'Target Unit' to value 'Piece',8172,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:37,008 Dashboard drill down by 'Territory' 'SE',1547,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:37,009 Dashboard drill down by 'Territory' 'BT LV SE',1375,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:37,010 Dashboard drill down by 'Territory' 'Sales Office Sweden',2172,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:38,011 Dashboard drill down by 'Territory' 'Huvudkontor',1453,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:38,012 Dashboard clear drills,7203,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:39,013 Logout ,1766,Login
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:39,001 Open login page,266,Other
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:39,002 Login as 'managerSW' and wait for dashboard,8078,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:39,003 Load dashboard 'Revenue Causality',8172,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:40,004 Dashboard clear drills,7313,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:41,005 Set time period in dashboard,1234,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:41,006 Set field 'Target Unit' to value 'Meter',8656,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:42,007 Set field 'Target Unit' to value 'Piece',10000,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:42,008 Dashboard drill down by 'Territory' 'SE',1563,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:43,009 Dashboard drill down by 'Territory' 'BT LV SE',1156,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:43,010 Dashboard drill down by 'Territory' 'Sales Office Sweden',2063,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:44,011 Dashboard drill down by 'Territory' 'Huvudkontor',1516,Dashboard
