#fields:VName,VLabel,Active
#
465,465-SIMATIC PC Industrial light,true
469,469-SIMATC PC Box PC,true
470,470-SIPLUS LOGO,true
471,471-SIPLUS generelt,true
472,472-SIPLUS S7-200,true
473,473-SIPLUS S7-300,true
474,474-SIPLUS S7-400,true
475,475-LOGO tilbehør,true
495,495-IPC Customized Simatic PC,true
496,496-IPC Solution for Electronic Assembl,true
497,497-Industrial PC general,true
498,498-Micro Automation general,true
499,499-Electronics and More general,true
4B1,"4B1-Bonus R762, not PQ-relevant",true
4B2,"4B2-Bonus R764, not PQ-relevant",true
4Z0,4Z0-not relevant for PQ and ZUE,true
4Z1,4Z1-not relevant for PQ and ZUE,true
4Z3,4Z3-not PQ und ZUE-relevant PC Midrange,true
4Z4,4Z4-not PQ und ZUE-relevant PC Box PC,true
4ZZ,4ZZ-not relevant for PQ and ZUE,true
500,500-SIMATIC NET Network transitions,true
501,501-SIMATIC NET Engineering Software,true
502,502-SIMATIC HMI OPG-TECHNIK,true
503,"503-SIMATIC HMI, OPG CE",true
504,"504-SIMATIC HMI, TP CE",true
506,506-SIMATIC NET IMC CPs for PC,true
507,507-SIMATIC NET IMC Network Components?,true
508,508-SIMATIC NET IMC Client Modules,true
509,509-SIMATIC NET IMC Cables,true
510,510-SIMATIC NET IMC Others,true
511,511-SIMATIC NET IE CPs for S5,true
512,512-SIMATIC NET IE CPs for S7-200,true
513,513-SIMATIC NET IE CPs for S7-300,true
514,514-SIMATIC NET IE CPs for S7-400,true
515,515-SIMATIC NET CPS FOR S7-1200,true
516,516-SIMATIC NET IE Softnet CPs for PC,true
517,517-SIMATIC NET IE Hardnet CPs for PC,true
518,518-SIMATIC NET IE ASICs,true
519,519-SIMATIC NET IE Runtime Software,true
520,520-SIMATIC NET IE Network Components,true
521,521-SIMATIC NET IE ELS/ESM/OSM,true
522,522-SIMATIC NET IE X-000,true
523,523-SIMATIC NET IE X-100,true
524,524-SIMATIC NET IE X-200,true
525,525-SIMATIC NET IE X-300,true
526,526-SIMATIC NET IE X-400,true
527,527-SIMATIC NET IE Standard Cables,true
528,528-SIMATIC NET IE Special Cables,true
529,529-SIMATIC NET Cables FO,true
530,530-SIMATIC NET IE Passive Network Component,true
531,531-SIMATIC NET IE Others,true
532,532-SIMATIC NET SECURITY CPs für PC,true
533,533-SIMATIC NET SECURITY Network Components?,true
534,534-SIMATIC NET SECURITY Runtime Software,true
535,535-SIMATIC NET SECURITY Others???,true
536,536-SCALANCE XB 000,true
538,538-SIMATIC HMI PC-lite,true
539,539-COROS LS-B TECHNIK + IW/OP,true
540,540-SIMATIC NET PB CPs for S5,true
