TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:41:19,"008 Dashboard drill down by 'Territory' 'SE'",31392,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:41:40,"009 Dashboard drill down by 'Territory' 'BT LV SE'",14719,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:42:03,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",15391,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:42:24,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",14313,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:43:02,"012 Dashboard clear drills",13172,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:43:23,"013 Logout ",14798,"Login"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:43:24,"001 Open login page",672,"Other"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:43:49,"002 Login as 'pt_managerSW' and wait for dashboard",24626,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:44:06,"003 Load dashboard 'Revenue Causality'",17079,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:44:48,"004 Dashboard clear drills",12469,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:45:31,"005 Set time period in dashboard",4047,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:46:14,"006 Set field 'Target Unit' to value 'Meter'",33658,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:46:45,"007 Set field 'Target Unit' to value 'Piece'",24189,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:47:26,"008 Dashboard drill down by 'Territory' 'SE'",33627,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:47:50,"009 Dashboard drill down by 'Territory' 'BT LV SE'",17095,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:48:14,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",17141,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:48:36,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",14626,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:49:17,"012 Dashboard clear drills",15063,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:43:23,2011/04/15 07:49:28,"013 Logout ",4406,"Login"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:49:28,"001 Open login page",453,"Other"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:49:51,"002 Login as 'pt_managerSW' and wait for dashboard",22376,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:50:07,"003 Load dashboard 'Revenue Causality'",15688,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:50:46,"004 Dashboard clear drills",14063,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:51:31,"005 Set time period in dashboard",4281,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:52:22,"006 Set field 'Target Unit' to value 'Meter'",44158,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:52:52,"007 Set field 'Target Unit' to value 'Piece'",22907,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:53:33,"008 Dashboard drill down by 'Territory' 'SE'",33861,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:53:57,"009 Dashboard drill down by 'Territory' 'BT LV SE'",16313,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:54:20,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",16204,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:54:43,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",15423,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:55:21,"012 Dashboard clear drills",15204,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:49:28,2011/04/15 07:55:33,"013 Logout ",4594,"Login"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 07:55:33,"001 Open login page",500,"Other"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 07:55:56,"002 Login as 'pt_managerSW' and wait for dashboard",22939,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 07:56:12,"003 Load dashboard 'Revenue Causality'",15844,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 07:56:51,"004 Dashboard clear drills",14094,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:00:01,"005 Set time period in dashboard",149054,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:00:29,"006 Set field 'Target Unit' to value 'Meter'",20892,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:00:59,"007 Set field 'Target Unit' to value 'Piece'",22704,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:01:42,"008 Dashboard drill down by 'Territory' 'SE'",36377,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:02:09,"009 Dashboard drill down by 'Territory' 'BT LV SE'",19548,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:02:49,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",33423,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:03:12,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",15376,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:03:49,"012 Dashboard clear drills",13922,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:55:33,2011/04/15 08:04:02,"013 Logout ",6063,"Login"
